id,competency_id,competency_name,learner_outcome_id,name,description,example,progression_level_1_emerging,progression_level_2_developing,progression_level_3_proficient,progression_level_4_applying
FL.ID.3.c,FL.ID.3,Critical Dialogue,FL,Using evidence,"Learners use logical reasoning and scientific evidence to design and justify claims. This includes empirical findings, known properties or laws of nature, and arguments or logic chains they have already explored and accepted as sound. They can explain how evidence supports causal links and refutes alternative explanations.","In science class, a student studies how plastics in the ocean impact marine life, examining scientific and empirical evidence that non-biodegradable plastics persist in ecosystems.The student explains how plastic toxins accumulate in marine organisms, affecting the food chain and leading to negative outcomes for species like fish and sea turtles.The student considers alternative hypotheses but, having reviewed multiple scientific sources, concludes that their explanation of how plastics interact with marine ecosystems is the most widely supported.","I can describe types and examples of evidence that would or would not justify a claim (e.g., thesis, conclusion, solution, hypothesis).",I can consider evidence to make a claim and then justify my reasoning.,"I use evidence and reasoning (properties, laws, and prior results) to design and justify claims (e.g., thesis, conclusion, solution, hypothesis).",I clearly explain how evidence both supports causal links and detracts from alternate possible explanations to justify a claim.
FL.ID.3.d,FL.ID.3,Critical Dialogue,FL,Constructive critique,"Students can help others correct and sharpen their arguments, making them clearer and more persuasive. They understand when an idea needs a little extra work, and can graciously offer constructive feedback on both the idea itself and how it’s presented. By giving thoughtful suggestions, they help everyone involved—including themselves—gain a deeper understanding of the topic.","In preparing a group presentation on the Cold War, a student observes that a classmate’s argument about the arms race lacks evidence from primary sources. The student finds a quiet moment to gently suggest to their peer that adding specific examples, such as speeches or documents, could strengthen the argument. The two discuss adjustments with their whole group, who quickly agree that quotes from primary sources will make a more compelling and informative presentation and enhance their own understanding of the historical context.","I can recognize and articulate when someone else’s communication is incomplete, incorrect, or unclear.","I can articulate ways to improve someone else’s communication that is incomplete, incorrect, or unclear.",I recognize situations when it is appropriate to provide critical feedback.,"I recognize situations when it is helpful to critique the way in which an idea is presented, and do so in a way that contributes to my and others’ understanding."
FL.MST.1.a,FL.MST.1,Computational Thinking,FL,Expressing equivalencies,"Students understand that the same quantity can be represented in different ways—whether through numbers, expressions, or visuals. Mobilizing different representations to find the most elegant solutions, they recognize the power of equivalence in math. They confidently use this understanding to tackle complex problems, strategically leveraging mathematical tools to transform and simplify expressions and equations, allowing them to find solutions efficiently and think creatively in diverse situations.","For a project about understanding equilibrium and teamwork, students participate in a tug-of-war game with uneven team sizes. They calculate the forces exerted by each team using different representations—formulas for force, diagrams showing vector directions, and numerical values for each team member’s strength. By finding equivalent representations, the students identify the most efficient way to balance the teams, such as adjusting positions or swapping teammates. This approach helps them strategize more effectively, demonstrating how mathematical equivalence can simplify complex problems and inform creative solutions.","I can represent the same quantity in multiple ways (e.g., equivalent numerical or algebraic expressions; different visual representations of the same amount).","I can formulate and rewrite expressions to represent the same quantity, and I can rewrite equations as equivalent equations in order to solve them.",I recognize and use equivalence between expressions and equations to solve non-routine problems.,I use mathematical tools to establish and leverage equivalence between quantities expressed in multiple ways to solve problems efficiently.
FL.MST.1.b,FL.MST.1,Computational Thinking,FL,Using computational tools,"Students select the right mathematical tools and concepts—like formulas, functions, and algorithms—to find solutions. They adapt these tools and concepts to fit different contexts, learning how to redefine problems in ways that make them more solvable. Students combine and refine mathematical and computational methods to efficiently solve problems and support claims, building confidence and their ability to clearly justify their work.","While analyzing their rural town’s population shifts over time, a student initially uses Excel to run a t-test for changes. They realize the t-test doesn’t account for confounding factors like seasonal variations in the agricultural labor force. To better model the data, they run a linear regression, which accommodates these variables. This adjustment refines their analysis, allowing them to draw broader conclusions about population-dependent factors such as public funding and representation with a more accurate approach.","I can choose appropriate tools (e.g., formulas, parent functions, mathematical representations, number properties, algorithms) and concepts (e.g., equivalence, proportionality, correlation, causation) to derive a solution.",I can use and adapt mathematical and computational tools and concepts so that they are useful for solving a problem in a given context.,"I redefine problems to be solvable with mathematical and computational tools, concepts, and processes, and I adapt combinations of tools and processes to solve problems efficiently.","I use mathematical and computational tools, concepts, and processes to support and refine claims and justify solutions."
FL.MST.1.c,FL.MST.1,Computational Thinking,FL,Stating and restating a problem,"Students break down complex problems into simpler forms, describing them in a way that makes them easier to tackle. As they experiment with these special cases, they uncover clues that can lead to solutions. They use these simpler cases not just to solve the original problem, but also to approach new, similar challenges with confidence and creativity.","Students are asked to determine the causes of declining fish populations in a local river. They brainstorm simple explanations that may contribute to the broader problem: changes in water temperature, a die-off of the fish’s primary food supply, or the role of pollutants. They explore these individual cases, analyzing each factor separately, then apply learning to the larger question using mathematical models such as multiple regression to account for multiple factors that predict the fish population.",I can describe a simpler form(s) of an original problem.,I can try special cases and simpler forms of a problem in order to gain insight into its solution.,I use special cases and simpler forms of a problem in order to determine how to solve the original problem.,I use special cases and simpler forms of problems in order to gain insight into their solutions and consider similar solutions to analogous problems.
FL.MST.1.d,FL.MST.1,Computational Thinking,FL,Analyzing patterns,"While solving problems, students notice when their calculations or strategies start repeating. Recognizing these patterns as clues, they dig deeper to understand why these repetitions occur, exploring the underlying reasons and surfacing the underlying mathematical truths. They analyze these repeating processes to identify general methods, useful shortcuts, and the right level of precision needed. When students analyze patterns, they become more efficient problem-solvers, capable of turning patterns into powerful tools they can apply to a wide range of challenges.","Students track beverage consumption in their class and notice patterns: They drink more hot drinks in cool weather, flavored coffees near holidays, and boba after school. Students then go further, investigating patterns by applying cluster analysis, grouping themselves based on favored drink type, frequency of purchase, and money spent. As they identify patterns in these clusters—such as seasonal spikes or correlations between weather and drink types consumed—they gain insights into market dynamics and the value of pattern recognition for answering questions and solving problems.",I can notice when my calculations or strategies start repeating in the process of solving problems.,"When calculations, strategies, and/or processes start repeating in the process of solving problems, I can investigate why.","When calculations, strategies, and/or processes start repeating in the process of solving problems, I analyze and describe why.","I analyze regularity and repeated reasoning in solution processes to identify both general methods, shortcuts, and an appropriate degree of precision in a solution."
FL.MST.1.e,FL.MST.1,Computational Thinking,FL,Checking results,"Students recognize when they’ve reached a solution and consistently double-check their work. They ask themselves, “Does this make sense”? As they use different paths to verify results, they realize there can be multiple ways to reach a correct answer, because each path has a set of underlying mathematical rules in common. Testing and double-checking solutions using different methods helps develop a deeper understanding of how math works.","When analyzing supply and demand data, a student finds the equilibrium price using a graph. To confirm, they use algebraic equations to solve for the same value, applying cross-validation techniques. They compare both outcomes to measure the predictive accuracy of their model. They can generalize this learning, recognizing that comparing graphs with equations provides a reliable process to validate the accuracy of their results with any similar problem or project.",I can recognize when I think I am done solving a problem.,I can check my results using a different method.,I check results using a different method and make connections among solution strategies.,"I make a habit of checking results (including asking myself “does this make sense?”) using a different method and making connections among solution strategies, even if a result initially seems to make sense."
FL.MST.1.f,FL.MST.1,Computational Thinking,FL,Using algorithms,"Students learn to recognize and understand algorithms as step-by-step instructions that solve problems. They create their own algorithms using various methods—writing, flowcharts, coding, or speaking—to explain their solutions. They are able to present these algorithms in multiple formats and adapt them for different situations. Through careful documentation of their thought process and development, students make their algorithms available to others, who can then apply them to new contexts and challenges.","A student adapts a number-sorting algorithm from math class to organize their tasks and assignments by priority. Using “importance” as the key comparison factor, they develop a system that continuously reprioritizes as new tasks come in. They document the process to teach others how to apply this method. This project creatively recontextualizes an algorithmic concept, fostering problem-solving and communication skills while encouraging others to rethink task prioritization.","I can express a set of step-by-step instructions (an algorithm) through prose, flowcharts, code, or oral language.",I can create and present an algorithm that explains how to solve a problem.,I create and present an algorithm in a variety of formats and languages that explains how to solve a problem.,I recontextualize processes for other relevant and appropriate contexts with sufficient documentation for others to adapt the algorithm for their purpose.
FL.MST.2.a,FL.MST.2,Mathematical Modeling,FL,Modeling,"Students understand and describe the key elements and results of different models, including how well these formulations represent real-world situations. They test and compare models, checking if they align with real data and noting where they succeed or fall short. As they critically evaluate and refine their models, students learn to develop, test, and improve those models, ensuring that their output and conclusions are both clear and accurate.","While using a model to predict market trends, a student compares results with historical economic data and identifies where the model falls short, such as not accounting for sudden policy changes. They refine the model by adding variables for government interventions and retest it with past data. The updated model provides more accurate predictions, and the student presents it, explaining both its strengths and limitations to ensure clarity and reliability.",I can describe and understand the outputs and key elements of a given model.,"I can test and choose given models to see if they “make sense” by comparing their outcomes with what is known about the real world and real data, and describe where the model fits well and less well.","I create mathematical models that are appropriate and clear for a given problem or situation, evaluate and describe the ways in which my models do and do not accurately represent reality, and communicate ideas about how the models might be improved.","I create, test, compare, and revise mathematical models for a given problem or situation in order to make my model as clear, complete, and accurate as possible."
FL.MST.2.b,FL.MST.2,Mathematical Modeling,FL,Understanding models,"Students identify key quantities in a situation being modeled and recognize the elements at play. They pinpoint the key variables involved and ask questions about how these elements relate to one another. By choosing and defining these quantities with the appropriate units and clarity, they can clearly represent the structure of these relationships, using precise labels and notation to demonstrate a complete understanding of the model.","A student creating a model of a food web identifies the key quantities involved, such as population size and energy flow between organisms. They explore how changes in one species’ population affect others in the ecosystem. By clearly defining these quantities and their relationships with appropriate labels and annotations, they present a complete model that illustrates the balance within the ecosystem.",I can identify some of the quantities in a situation being modeled.,"I can identify the quantities and variables in a given model, and ask questions to explore relationships between quantities.","I choose and define quantities wisely, with appropriate units of measure, and ask questions to understand and clarify qualitative and quantitative relationships.","I identify the quantities and variables of interest in a situation that I am modeling, and clearly represent the structure of their relationships with appropriate labels and annotation."
FL.MST.2.c,FL.MST.2,Mathematical Modeling,FL,Explaining models,"Students identify the assumptions and limitations behind a model, understanding what drives the model’s outcomes and explaining how these factors might affect its reliability. They not only justify these assumptions but also present strategies to minimize the effects of any deviations, making their models more robust and reliable.","A student analyzing a supply-and-demand model starts by identifying the assumption that all consumers have perfect information. They discuss how this assumption affects the model’s predictions and suggest that, in reality, imperfect information could lead to different outcomes. They propose adjusting the model to account for varying levels of consumer knowledge, which would make it more reflective of real-world scenarios.","I can share some initial, partially clear ideas about the assumptions behind a given model.",I can identify and describe the impact of at least one assumption behind a given model.,I identify the assumptions and limitations behind a given model and describe how they might impact the reliability of it.,"I clearly identify and justify the assumptions and limitations behind models, and create strategies to reduce the impact of potential deviations from my assumptions."
FL.MST.2.d,FL.MST.2,Mathematical Modeling,FL,Using models,"Students use given models to make predictions or find reasonable solutions for specific quantities. They ensure their calculations are justified and aligned with the model’s design. As they communicate the implications of a model, they make sure their conclusions fit the context and become adept at using models to explain and justify predictions or solutions in ways that resonate with specific audiences or stakeholders.","While using a population growth model to forecast urban expansion, a student starts with a simple prediction based on current growth rates. They then refine their approach by incorporating factors like economic development and migration trends. Understanding the model’s implications, they present their findings to their peers, clearly justifying their conclusions and discussing potential urban planning strategies that would interest city planners and policymakers.","I can use a given model to provide partial solutions, or reasonable predictions, for some relevant quantities.",I can use models to yield reasonable predictions or solutions and my calculations are justified by the model.,"I clearly state a model’s implications, and my predictions/ conclusions make sense in the context the model is designed for.",I use models to explain and justify a prediction or solution in a way that makes sense to an appropriate/specific audience or stakeholder.
FL.MST.3.a,FL.MST.3,Interpreting Data,FL,Data tools,"Students master a variety of data tools, learning which tools are best suited for different types of data analysis. They choose and apply advanced techniques—such as regression analysis, correlation coefficients, and function fitting—to analyze complex data sets. By cleaning, interpreting, and modeling data, they uncover patterns, identify causal relationships, and make accurate predictions. Ultimately, they use these tools with expertise to inform design work and bolster scientific claims, ensuring their conclusions are data-driven and reliable.","A student researching the effects of minimum wage increases on employment rates begins by selecting the appropriate tools to analyze a large dataset. After cleaning the data set, they use scatter plots to visualize trends and calculate correlations to suss out relationships between wage changes and employment levels. Using those correlations to hypothesize causal links, they then apply more advanced techniques like regression analysis to confirm relationships. Through this process, the student is able to make scientific, data based claims about the benefits and potential pitfalls of minimum wage increases.","I can apply simple concepts of statistics and probability (e.g., mean, median, mode) in order to interpret simple data sets (including observations) to reveal patterns.","I can use data science tools (e.g., function fits, slope, intercept, correlation coefficient) to organize, analyze, and interpret data sets in order to answer questions, reveal patterns, and identify possible correlational and causal links suggested by those patterns.",I use data science tools to analyze and interpret large and/or complex data sets in order to provide evidence for causal and correlational relationships between factors and make predictions.,"I clean and analyze data using tools, technologies, and/or models in order to make valid and reliable scientific claims or determine an optimal design solution."
FL.MST.3.b,FL.MST.3,Interpreting Data,FL,Data quality,"Students compare data collected by different groups, recognizing how the quality of the data source influences the accuracy and reliability of the analysis. They identify and describe limitations in their own data, such as measurement errors or incomplete information, while distinguishing between existential limitations and those that can be mitigated through cleaning and refinement of large data sets. Ultimately, they quantify and explain potential errors, ensuring their analyses are robust and their conclusions reliable.","A student analyzes a dataset on air quality and asthma rates. They notice inconsistencies in the data, such as variations in how asthma cases are reported by community health workers versus the state department of health. The student standardizes asthma case definitions, noting that one data source may overcount while another may undercount cases. After cleaning the dataset, they report correlational findings, including a discussion of this potential source of error to communicate how these limitations may affect the results.",I can compare and contrast data collected by different groups and discuss similarities and differences in findings.,"I can consider and describe the limitations of my data and data analysis (e.g., measurement error) when using quantitative data to support scientific claims and design solutions.","I address the limitations of my data and data analysis, including the need to clean large data sets, when using quantitative data to support claims and design solutions.",I quantify and explain possible errors and limitations of my analysis.
FL.MST.3.c,FL.MST.3,Interpreting Data,FL,Data visualization,"Students demonstrate a deep understanding of data and its nuances by choosing the most accurate and compelling visual representations. Students adapt visualizations to appeal to specific audiences, contexts, and purposes, using advanced digital tools to create tailored visualizations that highlight key patterns, correlations, and relationships. By mastering the art of communicating complex data effectively, students transform data into useful, compelling information to drive meaningful insights and support decision making.","A student collects data on plant growth under different light conditions. To communicate the findings, they create a digital bar chart that clearly shows how varying light levels affect growth rates. They refine the visualization by adding color gradients to represent light intensity and use annotations to highlight the most significant differences, making it easy for the class to understand the relationship between light and growth.",I can represent data in tables and simple graphical displays to reveal patterns.,I can create simple data visualizations to communicate patterns and possible correlational and causal links.,I use digital tools to create data visualizations to accurately represent correlational and causal links.,"I create data visualizations that are useful for communicating relationships to a specific audience, context, and/or purpose (e.g., making decisions or improving design solutions)."
FL.MST.4.a,FL.MST.4,Scientific Investigation,FL,Testing variables,"Students identify key variables in experiments—what changes, what stays constant, and what’s measured. They collaborate to plan investigations that account for social, technical, and environmental factors. Whether working independently or in groups, they ensure experiments are well-designed and data is valid and reliable. By iterating based on feedback, students continuously refine their approach, designing increasingly thorough investigations.","A group of students investigates how different crop types can maximize yield in a school garden, providing fresh food to supplement cafeteria meals. They identify crop type as the independent variable and yield as the dependent variable. Collaborating with peers, they select affordable, easy-to-grow crops while considering environmental factors like soil and seasonality. Through multiple trials and feedback from teachers and classmates, they refine their approach and generate reliable data to support sustainable food production for students in need.",I can identify independent and dependent variables and experimental controls.,"With guidance or collaborators, I can plan an appropriate investigation (experiment, field observations, or prototype testing) taking into account independent, dependent, and control variables and other factors such as social, technical, and environmental limitations/ constraints.","I conduct investigations individually and in groups to produce data that serves as evidence for explaining phenomena or testing solutions, and evaluate the investigation’s design to ensure variables are controlled.","I design and conduct investigations to generate data as evidence for explaining and predicting phenomena or testing and predicting the viability of design solutions, and once finished, seek feedback on my investigation, results, and/or claims."
FL.MST.4.b,FL.MST.4,Scientific Investigation,FL,Collecting data,"Students identify tools for data collection and accurately record observations and measurements. They explain how experiments, tests, and observations produce data that serve as evidence for understanding phenomena and they use scientific reasoning to assess the viability of different data collection methods. As they consider these different approaches, they also carefully weigh factors that impact precision and relevance of the data they generate, such as cost, time, and precision.","Students study urban traffic congestion using manual traffic counts but find them error-prone and labor-intensive. They switch to video analysis for better accuracy but face high costs and time constraints. Evaluating options, they choose a commuter app that tracks routes and travel times, providing real-time, precise data efficiently. This approach balances cost, time, and accuracy, optimizing their study of traffic patterns and congestion solutions.","I can identify tools for collecting data, and can identify how observations and measurements will be recorded.","I can explain how a given experiment, observation, and/or test would produce relevant data to serve as evidence for explaining phenomena or testing solutions.","I apply scientific reasoning to evaluate the accuracy of various methods of collecting data (including experiments, observations, and/or prototype testing) and describe why specific evidence is adequate for explanations or conclusions.","I consider different approaches for collecting reliable experimental or observational data, and decide on how best to gather data and produce reliable measurements, taking into account limitations on the precision and relevance of the resulting data (e.g., number of trials, cost, risk, time, confounding variables, etc.)."
FL.MST.4.c,FL.MST.4,Scientific Investigation,FL,Modeling systems,"Students understand systems as collections of smaller components, operating in relation to each other and to environmental conditions. Students define boundaries, inputs, and outputs and use models to explore interactions both within and between systems. By analyzing these interactions, they predict system behaviors while acknowledging the limitations and assumptions that affect prediction accuracy.","A student models an ecosystem to understand how different factors, such as predator-prey relationships, food availability, and temperature changes, affect population dynamics. They define the system’s boundaries, inputs (such as sunlight and rainfall), and outputs (e.g., species population sizes), then use a computer simulation to explore how changes in these variables impact the balance of the ecosystem. The student refines their model to better predict outcomes, acknowledging that factors like migration patterns and disease spread are approximations.","I can explain a system as composed of smaller parts and can identify some of those smaller parts (e.g., an object colliding with another object, an ecological environment, or a respiratory system).","I can investigate or analyze a system by defining its boundaries and initial conditions, as well as its inputs and outputs.","I use models (e.g., physical, mathematical, computer models) to simulate the flow of energy, changes in matter, and other interactions within and between systems at different scales.","I use models and simulations to predict the behavior of a system, and describe how these predictions have limited precision and reliability due to the assumptions and approximations inherent in the models."
FL.MST.4.d,FL.MST.4,Scientific Investigation,FL,Understanding causality,"Students learn to distinguish between correlational and causal relationships and identify which type a claim suggests. They design experiments to gather evidence that separates correlation from cause, predicting outcomes in different systems. By refining their experiments to isolate variables, they more accurately identify true cause-and-effect relationships and support specific claims about how systems work.","A student notices a correlation between listening to music while studying and an improvement in their test grades, leading them to investigate whether listening to music while studying actually causes better scores on tests. They design a more formal approach to the question by conducting a controlled experiment, randomly assigning other students to either listen to music or study in silence, thus isolating the effect of music on performance and providing clearer evidence of causality.","I can describe the difference between causal and correlational relationships, and recognize when a claim implies correlation or causation.",I can analyze how different causal and correlational relationships could or could not be used to predict phenomena in systems.,I set up experiments and investigations to gather empirical evidence to differentiate between cause and correlation and support claims and predictions about specific causes and effects in systems.,"I improve the design of experiments and investigations to gather empirical evidence of causality in a system, by making a change to a single component of a system and examining the result."
GC.IS.1.a,GC.IS.1,Healthy Relationships,GC,Personal needs and boundaries,"Students learn to balance their own boundaries and needs with those of others in their relationships. They actively manage and nurture these relationships, demonstrating comfort and skill in making difficult choices to maintain this balance.","In a group project, a student communicates their need for equal participation while acknowledging a teammate’s differing expectations given their roles in the project and their different extracurricular commitments. They engage in a conversation to establish shared goals that respect each other’s boundaries, strengths, limitations, and definitions of teamwork, while still ensuring that each derives the learning they need from the group project.",I can identify and describe how people build relationships and what boundaries look like within those relationships.,I can identify components of healthy relationships and boundaries for myself and describe how they do or do not apply in various personal contexts.,"I identify and describe components of healthy relationships and boundaries for myself, while also recognizing that someone’s personal needs and definition of ‘healthy boundaries’ might be different from my own.","I analyze the components of healthy relationships and what my own boundaries are. I also recognize that someone’s personal needs and definition of a ‘healthy relationship’ may be different from my own, and I adjust my choices accordingly."
GC.IS.1.b,GC.IS.1,Healthy Relationships,GC,Effective communication,"Learners routinely reflect on and improve their current communication and social skills with peers, teachers, and other adults to build and maintain healthy interactions.","A 9th grade student comes to value conversations with a teacher who provides academic support and guidance on navigating high school life. The student misses this guidance when they move on to 10th grade, and realizes it will take some work to sustain the connection. The student starts proactively scheduling conversations to discuss challenges and seek advice. By senior year, the student feels comfortable asking the teacher for a recommendation letter because of the strong relationship they’ve built over time.",I can describe what effective communication and social skills look like.,I can reflect on and describe my communication and social skills in daily interactions.,"I evaluate my current communication and social skills with peers, teachers, and other adults, and I use these skills to help me build and maintain healthy interactions.","I routinely reflect on and improve my current communication and social skills with peers, teachers, and other adults to build and maintain healthy interactions."
GC.IS.2.a,GC.IS.2,Negotiating Conflict,GC,Managing disagreement,"Managing disagreements begins with acknowledging and validating viewpoints different from your own. Validation creates mutual respect and openness, making resolutions easier. Acknowledging another viewpoint doesn’t mean you agree with it. It simply opens the door for dialogue.","A student managing a disagreement might say, “I understand why you feel this way, and here’s my perspective.” This simple act of validation fosters a positive and collaborative atmosphere.","When I disagree with someone, I can acknowledge and accept that there is a disagreement.","When I disagree with someone, I can acknowledge and restate the other person’s viewpoint and respectfully explain my own.","When I disagree with someone, I acknowledge and validate the other person’s viewpoint and use counter-argument respectfully to explain my own.","When I disagree with someone, I acknowledge and validate the other person’s viewpoint and ask questions in order to compare it with my own before I explain my viewpoint."
GC.IS.2.b,GC.IS.2,Negotiating Conflict,GC,Maintaining or adjusting my viewpoint,"Skillful negotiators defend their perspective with solid reasoning but stay open to new insights. They clearly articulate their thought process and show flexibility, which often leads to better outcomes.","During a class debate a student defends her argument for solar power but, after listening to a peer discuss the benefits of wind energy, she acknowledges his perspective and suggests both sources could complement each other. This balance of confidence and openness can make all the difference.","Within negotiation, I can identify when and why I choose to maintain or adjust my original viewpoint.","When presented with different perspectives, I can explain why I maintain or adjust my original viewpoint.","When presented with conflict, I justify why I maintain my original viewpoint using evidence, personal experience, and/or data, or I explain the process I went through in order to shift my position.",I describe examples of past conflicts where I maintained or adjusted my original viewpoint.
GC.IS.3.a,GC.IS.3,Building Empathy,GC,Understanding others' viewpoints,"Students ask questions, do research, and talk to people to understand and highlight the thoughts, feelings, and experiences of those from different backgrounds and perspectives.","While writing an essay on literature of diaspora, a student researches and reads first-person accounts from immigrants with different cultural backgrounds. They ask questions that help them grasp the emotions and challenges these individuals face, then use this understanding to write a more nuanced and analytic response to the texts.","I can attempt to identify the thoughts, feelings, and experiences of people with different backgrounds and perspectives with whom I interact.","I can ask questions in order to attempt to describe the thoughts, feelings, and experiences of people with different backgrounds and perspectives with whom I interact.","I use a process of inquiry (questioning, research, interviews, etc.) in order to attempt to describe the thoughts, feelings, and experiences of people with different backgrounds and perspectives with whom I interact.","I apply a process of inquiry (questioning, research, interviews, etc.) in order to capture and amplify the thoughts, feelings, and experiences of people with different backgrounds and perspectives with whom I interact."
GC.IS.3.b,GC.IS.3,Building Empathy,GC,Recognizing my impact,"Learners prepare to act by thinking about and questioning what they know and believe about others, both as individuals and in groups. Learners understand how others might feel or react to what they say and do.","Before sharing their opinion on a controversial topic during a class discussion, a student considers how their words might impact classmates with different backgrounds or experiences. They reflect on their own assumptions about their classmates and adjust their language to ensure their points are communicated thoughtfully and respectfully.",I can explore how others might have experienced/ responded to my actions and words.,I can accurately identify how others might have experienced/ responded to my actions and words.,I reflect on how others might experience/respond to my actions and words before I share them publicly.,"I interrogate my knowledge of and assumptions about others, both as individuals and in groups, to expand my understanding of how others might experience/respond to my actions and words before I share them publicly."
GC.IS.3.c,GC.IS.3,Building Empathy,GC,Showing understanding,"Students build connections with other people by showing that they have considered, and care about, other people’s emotions, perspectives, and experiences.","During a group project on siting a new electrical substation, a student identifies an optimal location based on geology and infrastructure. Recognizing that a classmate lives near the site, the student reflects on how their suggestion might impact local residents differently from those benefiting from the power grid. They carefully present their findings with empathy, acknowledging the personal impact on the classmate’s community. This approach fosters an inclusive discussion and a foundation for sustainable collaboration.",I can recognize my connections with other people when they involve respect and understanding.,I can recognize connections between other people when they show each other respect and understanding.,"I build connections with other people by considering their emotions, perspectives, and experiences.","I build connections with other people by showing them that I have considered, and care about, their emotions, perspectives, and experiences."
GC.IS.4.a,GC.IS.4,Productive Collaboration,GC,Valuing others,Successful collaborators express appreciation for their teammates’ contributions and offer helpful suggestions for improvement.,"A proficient learner knows when to say, “Wow, that was a really creative idea! Let’s build on it further by coming up with an example for what that might look like in practice.”",I can value the contributions of others.,I can express to others that I value their contributions in order to encourage them.,I articulate to others the specific ways in which I value their contributions and effectively embed constructive feedback.,I maximize productivity and quality of output by encouraging group members to contribute.
GC.IS.4.b,GC.IS.4,Productive Collaboration,GC,Navigating roles,"Productive team members understand their personal responsibilities within a project, recognize each team member’s unique skills, and appreciate how important each individual’s contribution is to the common goal.",A learner could volunteer to work on graphing data into a visual chart and then ask an artistic teammate to design a compelling data visualization.,"I can identify and describe my role on a team, and the contribution I will make, and am aware of the value of roles.",I can identify my role and describe ways I can make a contribution and support team members in reaching shared goals.,"I identify discrete needs and roles in group work, and defer to teammates' strengths and expertise to achieve them.",I seek and find effective ways to help my teammates make valuable contributions to our shared goals (including leading or delegating authority as appropriate).
GC.IS.4.c,GC.IS.4,Productive Collaboration,GC,Reflecting on our work,"Effective reflection ensures that everyone feels heard and valued, and that conflicts can be acknowledged and resolved. Team members should be able to thoughtfully share their feelings and experiences from the collaboration.","Looking back, a student recognizes their struggles while working with their team, and identifies where their actions impacted other team members.","I can articulate how I think my group is feeling about our work, and why I think they are feeling that way.",I can contribute to shared reflection and discussion of how we felt during our work together after group work is complete.,I facilitate shared reflection and discussion of how we felt during our work together after group work is complete.,"I implement and evaluate appropriate processes for providing and receiving constructive feedback, and synthesize and incorporate feedback."
GC.SA.1.a,GC.SA.1,Diverse Perspectives,GC,Collaborating across difference,Students engage and actively pursue collaboration with people who have diverse perspectives and backgrounds in order to improve outcomes.,"In a biology lab, a student intentionally builds teams with classmates from different neighborhoods to design an experiment on environmental impacts. By incorporating diverse viewpoints, they identify variables that might otherwise be overlooked, leading to a more comprehensive and accurate experiment.",I can collaborate with people who have diverse perspectives and backgrounds.,I can discuss differences with people who have diverse perspectives and backgrounds.,I collaborate with people who have diverse perspectives and backgrounds in order to improve outcomes.,I engage and actively look for ways to collaborate with people who have diverse perspectives and backgrounds in order to improve outcomes.
GC.SA.1.b,GC.SA.1,Diverse Perspectives,GC,Situating my perspective,"Learners pinpoint the facts, assumptions, and biases shaping their perspective on an issue, then analyze these elements for any signs of systemic inequity or exclusion.","During a study of immigration history, a student starts from a position that borders should be closed in order to protect a country’s limited resources. Upon examining data about the long-term implications of both closed-border and open-border policies, the student develops a more nuanced position that accounts for the potential benefits and costs of different policies.",I can identify the facts that I may hold about a given circumstance.,"I can identify the facts, assumptions, and biases that I may hold about a given circumstance.","I identify the facts, assumptions, and biases that form my perspective on a given issue/circumstance and analyze relationships among them.",I identify the facts and assumptions that form my perspective on a given issue/circumstance and analyze them for bias.
GC.SA.2.a,GC.SA.2,Navigating Power,GC,Holders of power,"Learners identify the primary holder(s) of power in social, political, cultural, and economic situations or contexts, analyze the relationships among them, and explain the rationale behind their analyses.","In analyzing the Civil Rights Movement, a student identifies segregationist government officials and civil rights leaders as key power holders. The student explains that while government officials held legislative, executive, and judicial power, civil rights leaders like Martin Luther King Jr. wielded social power to mobilize change. The student argues that as these two factions clashed, their interactions shaped the movement’s progress and challenges, illustrating their points with examples of influential speeches and civil disobedience, court rulings, and legislative changes.",I can identify the holder(s) of power in historical social and political situations/contexts.,I can identify the primary holder(s) of power in historical social and political situations/contexts.,"I identify the primary holder(s) of power in social, political, and cultural situations/contexts, and explain my rationale.","I identify the primary holder(s) of power in social, political, cultural, and economic situations/contexts, analyze the relationship between them, and explain my rationale."
GC.SA.2.b,GC.SA.2,Navigating Power,GC,Social Identities,Students analyze how narratives about social groups and hierarchies impact the power dynamics of a social situation. Students develop strategies to respond to situations in ways that increase fairness.,"When asked by her teacher why she doesn’t participate in math class, a student responds, “I’m bad at math.” Together, they explore how the student’s feelings about her math ability fit within a larger narrative that girls aren’t “math people”. They examine how that narrative plays out in the classroom and discuss ways to disrupt it. They decide to highlight and celebrate the achievements of female mathematicians to create a more equitable environment where all students feel confident and capable of participating.",I can identify something I have heard about social identities that could be impacting the power dynamics of a social situation/context.,I can identify something I have learned about social identities that impacts the power dynamics of a given social situation/context.,I analyze how narratives about social identities impact the power dynamics of a social situation/context.,"I analyze how narratives about social identities impact the power dynamics of a social situation/context, and how I might respond to that in order to increase fairness."
